thermal_grid_name,line_name,line_type,node_1_name,node_2_name,length
singapore_tanjongpagar,0,tanjongpagar_pipe1.5,0,12,0.031185306
singapore_tanjongpagar,1,tanjongpagar_pipe3.0,0,30,0.112071573
singapore_tanjongpagar,2,tanjongpagar_pipe1.5,12,11,0.079638765
singapore_tanjongpagar,3,tanjongpagar_pipe2.0,30,9,0.046801451
singapore_tanjongpagar,4,tanjongpagar_pipe2.5,30,15,0.052268625
singapore_tanjongpagar,5,tanjongpagar_pipe1.0,11,13,0.079638781
singapore_tanjongpagar,6,tanjongpagar_pipe2.0,9,8,0.079638756
singapore_tanjongpagar,7,tanjongpagar_pipe2.5,15,36,0.065860891
singapore_tanjongpagar,8,tanjongpagar_pipe1.0,13,45,0.038492457
singapore_tanjongpagar,9,tanjongpagar_pipe2.0,8,27,0.012151883
singapore_tanjongpagar,10,tanjongpagar_pipe2.0,36,17,0.056574557
singapore_tanjongpagar,11,tanjongpagar_pipe1.5,36,2,0.061487893
singapore_tanjongpagar,12,tanjongpagar_pipe1.0,45,10,0.084983461
singapore_tanjongpagar,13,tanjongpagar_pipe2.0,27,14,0.056513234
singapore_tanjongpagar,14,tanjongpagar_pipe1.5,17,35,0.054403708
singapore_tanjongpagar,15,tanjongpagar_pipe1.5,2,32,0.061487957
singapore_tanjongpagar,16,tanjongpagar_pipe2.0,14,5,0.006962356
singapore_tanjongpagar,17,tanjongpagar_pipe1.5,35,20,0.05522132
singapore_tanjongpagar,18,tanjongpagar_pipe1.0,35,1,0.061487834
singapore_tanjongpagar,19,tanjongpagar_pipe1.5,32,7,0.032493624
singapore_tanjongpagar,20,tanjongpagar_pipe1.5,5,29,0.053501578
singapore_tanjongpagar,21,tanjongpagar_pipe1.5,20,26,0.055756905
singapore_tanjongpagar,22,tanjongpagar_pipe1.0,1,31,0.061487958
singapore_tanjongpagar,23,tanjongpagar_pipe0.5,7,38,0.067486759
singapore_tanjongpagar,24,tanjongpagar_pipe1.5,29,3,0.053477526
singapore_tanjongpagar,25,tanjongpagar_pipe1.5,26,4,0.060028336
singapore_tanjongpagar,26,tanjongpagar_pipe1.0,31,18,0.055489074
singapore_tanjongpagar,27,tanjongpagar_pipe0.5,38,6,0.064706833
singapore_tanjongpagar,28,tanjongpagar_pipe1.5,3,16,0.008925488
singapore_tanjongpagar,29,tanjongpagar_pipe1.0,4,42,0.072824642
singapore_tanjongpagar,30,tanjongpagar_pipe1.5,16,28,0.054574092
singapore_tanjongpagar,31,tanjongpagar_pipe1.0,42,22,0.115394265
singapore_tanjongpagar,32,tanjongpagar_pipe1.5,28,21,0.074560579
singapore_tanjongpagar,33,tanjongpagar_pipe1.0,21,19,0.035126288
